Formula,P2O5,SiO2,TiO2,Al2O3,Cr2O3,MgO,CaO,MnO,FeO,Na2O,K2O,S,Mo,Total,"O=S , Mo",Total,X,Y,Z,Beam X,Beam Y,Comment,Distance (µ),Mean Z,Point#,Date,Geo Specie
1 / 1 . ,0.3867,50.5145,2.3058,16.9982,0.0117,5.7518,7.611,0.1546,10.7918,2.9143,0.8728,0.0181,0.2239,98.5553,0.0232,98.5321,12980,2506,70, , ,CRA1A bp,0,12.5015,1,6/30/2020 14:06,Glass (on the basis of 24 O)
1 / 2 . ,0.3402,50.4976,1.9571,18.5312,0.0208,5.2248,8.0202,0.165,9.4098,3.0244,0.7749,0.0128,0.1396,98.1184,0.0148,98.1036,12756,2506,70, , ,CRA1A bp,224,12.2718,2,6/30/2020 14:12,Glass (on the basis of 24 O)
1 / 3 . ,0.3149,51.454,1.9034,18.4825,0.0263,5.0509,7.6792,0.1419,9.2533,3.1145,0.899,0,0.3244,98.6442,0.027,98.6172,12541,2329,64, , ,CRA1A bp,473.38,12.3499,3,6/30/2020 14:17,Glass (on the basis of 24 O)
1 / 4 . ,0.3419,51.0083,2.2792,17.1975,0.0316,5.0975,7.8351,0.1678,10.138,2.9291,0.8561,0.015,0.5599,98.457,0.0504,98.4065,12369,1853,60, , ,CRA1A bp,894.33,12.5378,4,6/30/2020 14:22,Glass (on the basis of 24 O)
1 / 5 . ,0.358,51.3468,1.9437,19.0619,0.01,4.1405,8.2263,0.1579,8.5993,3.3019,0.9215,0.0107,0.1995,98.2778,0.0193,98.2585,12655,1853,67, , ,CRA1A bp,729.41,12.2375,5,6/30/2020 14:28,Glass (on the basis of 24 O)
1 / 6 . ,0.4157,51.1701,2.0153,19.455,0.0481,4.3287,7.863,0.1533,9.368,3.1893,0.9672,0,0.0273,99.0011,0.0023,98.9988,12918,1657,67, , ,CRA1A bp,851.27,12.3335,6,6/30/2020 14:33,Glass (on the basis of 24 O)
1 / 7 . ,0.399,51.4537,2.27,17.4543,0.0253,4.9826,7.7837,0.1732,10.0507,3.0655,0.8592,0,0.5451,99.0624,0.0454,99.0169,12717,1333,63, , ,CRA1A bp,1202.14,12.583,7,6/30/2020 14:38,Glass (on the basis of 24 O)
1 / 8 . ,0.3615,50.4176,2.5144,16.6877,0.0117,5.4825,7.6369,0.1825,10.8779,2.765,0.7922,0.0213,0.8082,98.5595,0.0727,98.4867,12395,1333,62, , ,CRA1A bp,1310.81,12.7073,8,6/30/2020 14:43,Glass (on the basis of 24 O)
1 / 9 . ,0.3717,51.0066,2.488,16.5255,0.0126,5.2475,7.7362,0.1768,10.5473,2.702,0.8217,0,0.4108,98.0467,0.0343,98.0124,12132,996,56, , ,CRA1A bp,1731.88,12.4963,9,6/30/2020 14:49,Glass (on the basis of 24 O)
1 / 10 . ,0.3336,52.2246,1.9625,17.9222,0.0118,5.1197,8.174,0.1398,9.181,2.8901,0.8338,0,0.2964,99.0894,0.0247,99.0647,12435,796,59, , ,CRA1A bp,1794.78,12.4096,10,6/30/2020 14:54,Glass (on the basis of 24 O)
1 / 11 . ,0.4169,51.0604,2.0524,18.0915,0.0326,4.8169,7.7511,0.1659,9.615,3.1389,1.0073,0.0118,0.1224,98.2831,0.0131,98.2699,12654,509,65, , ,CRA1A bp,2023.44,12.3144,11,6/30/2020 14:59,Glass (on the basis of 24 O)
1 / 12 . ,0.356,51.7521,1.9113,19.6313,0.0465,3.813,8.6369,0.1099,8.3007,3.4269,0.9985,0.0107,0.1316,99.1255,0.0137,99.1118,12804,223,65, , ,CRA1A bp,2289.78,12.2989,12,6/30/2020 15:04,Glass (on the basis of 24 O)
1 / 13 . ,0.4268,51.3616,1.9256,19.0333,0,4.346,7.8867,0.1287,8.7382,3.3193,0.9654,0.0032,0.0323,98.167,0.0035,98.1635,12442,201,62, , ,CRA1A bp,2366.97,12.1646,13,6/30/2020 15:10,Glass (on the basis of 24 O)
1 / 14 . ,0.3357,51.8861,1.8946,17.7397,0.0146,5.268,8.061,0.1647,8.6605,2.8707,0.8109,0.0021,0.3785,98.0871,0.0321,98.055,12188,-217,55, , ,CRA1A bp,2835.88,12.2611,14,6/30/2020 15:15,Glass (on the basis of 24 O)
1 / 15 . ,0.3567,52.5612,1.9763,17.2778,0.0146,5.9933,7.7947,0.1445,8.5037,3.1999,0.7,0.0107,0.379,98.9123,0.0343,98.878,12510,-338,55, , ,CRA1A bp,2882.61,12.3094,15,6/30/2020 15:20,Glass (on the basis of 24 O)
1 / 16 . ,0.4383,51.6773,2.265,17.5333,0.0308,5.0843,7.7924,0.1532,9.788,3.0487,0.9074,0.0043,0.1895,98.9126,0.0169,98.8958,13869,-501,65, , ,CRA1A bp,3135.67,12.4293,16,6/30/2020 15:26,Glass (on the basis of 24 O)
1 / 17 . ,0.3753,51.512,2.241,17.8377,0.0145,4.9796,7.6946,0.1396,9.6854,2.9235,0.9706,0.0118,0.2737,98.6591,0.0258,98.6333,13707,-371,65, , ,CRA1A bp,2967.44,12.4118,17,6/30/2020 15:31,Glass (on the basis of 24 O)
