Formula,P2O5,SiO2,TiO2,Al2O3,Cr2O3,MgO,CaO,MnO,FeO,Na2O,K2O,S,Mo,Total,"O=S , Mo",Total,X,Y,Z,Beam X,Beam Y,Comment,Distance (µ),Mean Z,Point#,Date,Geo Specie
1 / 1 . ,0.3539,53.1644,1.9887,16.5859,0.0378,5.355,7.8148,0.1541,9.3026,2.9162,1.17,0,0.4166,99.26,0.0347,99.2253,-12308,-19530,162, , ,CR1B_Bulk_Pt1,0,12.4855,1,2/20/2020 11:19,Glass (on the basis of 24 O)
1 / 2 . ,0.3934,53.481,2.0694,16.2624,0.0306,5.3112,7.6107,0.1303,9.0676,3.1064,1.1268,0.0064,0.357,98.9533,0.0314,98.9219,-12026,-19530,162, , ,CR1B_Bulk_Pt2,282,12.3962,2,2/20/2020 11:25,Glass (on the basis of 24 O)
1 / 3 . ,0.3466,53.3094,1.7485,17.1896,0.0108,5.109,8.1015,0.1708,8.4721,3.0814,1.0422,0.0074,0.4328,99.022,0.0379,98.9841,-11691,-19446,162, , ,CR1B_Bulk_Pt3,622.69,12.3677,3,2/20/2020 11:31,Glass (on the basis of 24 O)
1 / 4 . ,0.3671,53.1411,1.8231,17.1589,0.0514,4.9802,7.9594,0.1193,8.6405,2.8552,1.2015,0.0159,0.5317,98.8453,0.0483,98.797,-11464,-19725,162, , ,CR1B_Bulk_Pt4,866.23,12.4046,4,2/20/2020 11:36,Glass (on the basis of 24 O)
1 / 5 . ,0.3048,52.9865,1.8151,17.402,0.0162,5.2489,7.9719,0.1633,8.7736,2.9212,1.0642,0,0.2801,98.9478,0.0234,98.9244,-11619,-21594,169, , ,CR1B_Bulk_Pt5,2175.98,12.3409,5,2/20/2020 11:41,Glass (on the basis of 24 O)
1 / 6 . ,0.275,53.2293,1.9907,16.7209,0.0198,5.0415,8.0018,0.125,9.0738,2.8827,1.1209,0,0.6166,99.0978,0.0514,99.0464,-11794,-21429,169, , ,CR1B_Bulk_Pt6,1967.35,12.51,6,2/20/2020 11:46,Glass (on the basis of 24 O)
1 / 7 . ,0.3353,53.0124,1.7768,16.0782,0.0315,6.182,7.9784,0.1669,9.1087,2.8959,1.0618,0,0.3406,98.9688,0.0284,98.9404,-12519,-21629,169, , ,CR1B_Bulk_Pt7,2109.59,12.3987,7,2/20/2020 11:52,Glass (on the basis of 24 O)
1 / 8 . ,0.3555,51.0668,2.102,15.8171,0.0456,5.6154,7.8897,0.1617,10.1656,2.8253,0.9582,0.0127,1.0585,98.0741,0.0914,97.9827,-12613,-21585,169, , ,CR1B_Bulk_Pt8,2077.52,12.6559,8,2/20/2020 11:57,Glass (on the basis of 24 O)
1 / 9 . ,0.3615,53.1716,1.9291,16.2902,0.0297,5.3324,7.9647,0.1221,9.0112,3.1052,1.0754,0.0011,0.6074,99.0016,0.0509,98.9507,-12962,-21196,169, , ,CR1B_Bulk_Pt9,1789.78,12.4811,9,2/20/2020 12:02,Glass (on the basis of 24 O)
1 / 10 . ,0.3945,52.7548,1.8801,16.0397,0.0117,5.4574,7.8688,0.1393,9.0883,3.0181,1.0973,0.0074,0.3658,98.1232,0.0324,98.0908,-13301,-21063,169, , ,CR1B_Bulk_Pt10,1826.52,12.3137,10,2/20/2020 12:08,Glass (on the basis of 24 O)
1 / 11 . ,0.3362,53.3343,1.8238,16.6662,0.0162,5.1576,7.8871,0.1349,8.8111,3.2377,1.1445,0.0181,0.2357,98.8034,0.0242,98.7792,-13454,-20917,169, , ,CR1B_Bulk_Pt11,1799.2,12.3158,11,2/20/2020 12:13,Glass (on the basis of 24 O)
1 / 12 . ,0.2941,54.1068,1.3952,17.8628,0.0145,4.6721,8.276,0.121,7.8027,3.2022,1.1472,0,0.4615,99.3561,0.0385,99.3176,-13707,-20444,169, , ,CR1B_Bulk_Pt12,1671.12,12.3287,12,2/20/2020 12:18,Glass (on the basis of 24 O)
1 / 13 . ,0.3426,53.5977,1.6734,17.3549,0,4.6527,8.2759,0.1509,8.1848,3.2802,1.2007,0.0234,0.0822,98.8195,0.0127,98.8068,-14208,-20444,169, , ,CR1B_Bulk_Pt13,2108.42,12.2174,13,2/20/2020 12:24,Glass (on the basis of 24 O)
1 / 14 . ,0.3783,53.8234,1.8058,17.8855,0.0081,4.1258,7.8728,0.1195,7.9638,3.4865,1.3939,0,0.0667,98.9302,0.0056,98.9247,-14379,-20526,169, , ,CR1B_Bulk_Pt14,2298.07,12.193,14,2/20/2020 12:29,Glass (on the basis of 24 O)
1 / 15 . ,0.3477,52.8022,1.8148,16.6636,0.0171,5.6321,8.1816,0.1588,8.8534,3.0576,1.0566,0.0128,0.2348,98.8331,0.0228,98.8103,-14346,-21040,169, , ,CR1B_Bulk_Pt15,2536.45,12.3358,15,2/20/2020 12:34,Glass (on the basis of 24 O)
