Formula,P2O5,SiO2,TiO2,Al2O3,V2O3,Cr2O3,MgO,CaO,MnO,FeO,Na2O,K2O,S,Mo,Total,"O=S , Mo",Total,X,Y,Z,Beam X,Beam Y,Comment,Distance (µ),Mean Z,Point#,Date,Geo Specie
1 / 1 . ,0.0487,47.4186,1.0089,15.0304,0.0417,0.0769,10.0577,13.2037,0.1965,10.6526,1.7403,0.0281,0.0074,0.0492,99.5606,0.0059,99.5547,-14335,-25966,182, , ,H9 BIR-1,0,12.7413,1,9/16/2020 16:12,Glass (on the basis of 24 O)
1 / 2 . ,0.0293,46.9662,1.0122,15.2917,0.0863,0.0487,9.8865,13.0939,0.175,10.4461,1.7636,0.0405,0.0042,0.1433,98.9876,0.013,98.9746,-14711,-25966,182, , ,H9 BIR-1,376,12.6789,2,9/16/2020 16:19,Glass (on the basis of 24 O)
1 / 3 . ,0.0467,46.2977,0.9135,14.9446,0.0822,0.0492,9.4792,12.895,0.1657,9.9101,1.7522,0.0287,0.0115,0.7884,97.3645,0.0686,97.2959,-15152,-25917,182, , ,H9 BIR-1,818.47,12.6285,3,9/16/2020 16:25,Glass (on the basis of 24 O)
1 / 4 . ,0.0411,47.2171,0.9865,15.5426,0.0666,0.077,9.83,13.0309,0.1671,10.3075,1.8397,0.0382,0.0063,0.0412,99.1917,0.005,99.1867,-14748,-26127,182, , ,H9 BIR-1,443.27,12.6479,4,9/16/2020 16:31,Glass (on the basis of 24 O)
1 / 5 . ,0.0226,47.3726,0.9897,14.6721,0.0508,0.0637,10.061,13.0754,0.1748,11.0418,1.7034,0.0091,0.0147,0.0008,99.2524,0.0037,99.2487,-14461,-26741,182, , ,H9 BIR-1,785.18,12.7251,5,9/16/2020 16:37,Glass (on the basis of 24 O)
1 / 6 . ,0.0442,47.2391,0.9512,15.2768,0.0599,0.0802,9.9091,13.2241,0.1815,10.4701,1.7704,0.0253,0.0021,0.1176,99.3516,0.0103,99.3413,-14458,-27145,182, , ,H9 BIR-1,1185.4,12.7171,6,9/16/2020 16:43,Glass (on the basis of 24 O)
1 / 7 . ,0.0418,47.492,1.0064,15.797,0.0686,0.0547,9.6469,13.1611,0.176,10.3031,1.8692,0.0239,0,0.0845,99.7251,0.007,99.7181,-14182,-27145,182, , ,H9 BIR-1,1188.89,12.7244,7,9/16/2020 16:49,Glass (on the basis of 24 O)
1 / 8 . ,0.0375,47.5818,1.0398,15.2088,0.0826,0.0564,9.7183,13.1521,0.1554,10.5663,1.7842,0.0324,0.0074,0.1082,99.5311,0.0109,99.5202,-13906,-27145,182, , ,H9 BIR-1,1254.62,12.7437,8,9/16/2020 16:55,Glass (on the basis of 24 O)
1 / 9 . ,0.044,48.0245,0.9603,15.2325,0.0637,0.0519,9.8378,13.0979,0.1785,10.2436,1.7749,0.0215,0.0105,0.0998,99.6413,0.0109,99.6303,-13791,-27265,182, , ,H9 BIR-1,1408.31,12.709,9,9/16/2020 17:01,Glass (on the basis of 24 O)
1 / 10 . ,0.0283,47.7129,0.9511,15.6001,0.0698,0.0824,9.7007,13.1716,0.168,10.2947,1.7361,0.042,0.0063,0.1446,99.7087,0.0136,99.695,-13430,-27412,182, , ,H9 BIR-1,1705.86,12.7428,10,9/16/2020 17:07,Glass (on the basis of 24 O)
