Row,Name,P2O5,SiO2,TiO2,Al2O3,Cr2O3,MgO,CaO,MnO,FeO,Na2O,K2O,S,Total,Mineral
1,CR1A3_2 PT1,0.9475,64.2579,3.2912,11.7515,0.0179,1.2133,3.8091,0.1568,9.5448,2.6687,3.1571,0.0149,100.8308,Glass
2,CR1A3_2 PT2,1.09,62.4693,3.5185,9.6559,0,0.8163,2.5778,0.1274,9.077,1.0721,3.9932,0.0045,94.402,Glass
3,CR1A3_2 PT3,0.6957,69.1571,1.7587,12.6912,0.0212,0.3821,2.2788,0.0885,3.6759,2.576,4.2221,0.0148,97.5621,Glass
4,CR1A3_2 PT5,1.2054,67.8453,2.1809,12.2354,0.0057,0.5711,2.317,0.112,5.7149,2.1237,3.9678,0.0102,98.2894,Glass
5,CR1A3_2 PT7,0.5789,68.2543,2.1693,11.3384,0.0036,0.8394,2.3247,0.1547,7.2766,1.6442,3.8264,0.0011,98.4113,Glass
6,CR1A3_3 PT1,1.1639,63.0326,4.6216,9.8882,0.0115,1.1513,2.9873,0.1636,11.2875,1.7436,3.278,0.0137,99.3429,Glass
7,CR1A3_3 PT2,0.8643,64.0332,3.1904,11.3148,0,1.01,3.504,0.1289,9.0806,3.1614,2.2345,0.0112,98.5334,Glass
8,CR1A3_3 PT3,1.1745,61.0738,4.2072,9.9402,0,1.0947,3.1661,0.1859,11.4533,2.0157,3.3981,0.0067,97.7163,Glass
9,CR1A3_3 PT4,1.0194,64.9066,3.7272,9.8287,0,0.8951,2.4594,0.1709,9.3165,1.2436,3.9183,0.0244,97.5102,Glass
10,CR1A3_3 PT5,1.1819,66.5957,2.9181,11.7534,0,0.3673,2.2,0.0836,5.9355,1.8455,5.2346,0.0045,98.12,Glass
11,CR1A3_3 PT6,1.044,62.1729,3.9664,10.3665,0,0.9901,2.7508,0.1788,9.5322,1.1825,3.6896,0,95.8739,Glass
12,CR1B1_5,0.7698,63.3858,3.1383,14.1568,0,0.9677,3.7104,0.1386,7.6005,3.7132,3.0711,0,100.6522,Glass
13,CR1B1_6,0.6336,62.2344,1.7488,14.3868,0,0.7592,4.7946,0.085,4.6065,4.0769,2.934,0.0011,96.2608,Glass
14,CR1B1_9,1.0371,58.2483,4.2565,10.8291,0.0191,1.3807,3.7353,0.1315,13.4953,2.0948,3.2296,0.0093,98.4667,Glass
15,CR1B1_11,0.7825,60.0655,3.1298,13.3605,0,1.0228,4.2889,0.1126,9.8766,3.5603,2.7531,0.0126,98.9652,Glass
16,CR1B1_12,1.0765,62.6867,4.1654,11.7814,0,0.4056,2.5651,0.096,9.3946,2.4847,3.752,0.0085,98.4164,Glass
17,CR1B1_13,0.6347,60.8666,1.7888,17.5508,0.0096,0.468,4.992,0.0578,6.0779,4.7396,2.2592,0.017,99.4621,Glass
18,CR1B1_15,0.8888,60.3904,3.1497,12.7022,0.0312,1.2871,4.1196,0.1247,10.7525,3.0243,3.1496,0.0067,99.6267,Glass
19,CR1B1_2 PT1,0.7911,60.8481,2.7608,13.2816,0.0135,1.3388,4.2191,0.1821,8.7463,3.8622,2.8815,0.0086,98.9337,Glass
20,CR1B1_2 PT2,0.8297,60.4205,3.5608,12.2302,0.0063,0.8615,3.4408,0.1282,10.4126,2.8833,3.2279,0.0085,98.0104,Glass
21,CR1B1_2 PT3,1.0346,63.22,3.1048,12.8093,0.0239,0.3317,2.8739,0.1216,9.0586,2.8271,3.8673,0.0105,99.2831,Glass
22,CR1B1_2 PT4,0.8218,59.6634,3.3932,12.4965,0,1.0176,4.0043,0.1377,10.8691,2.5235,3.278,0.0115,98.2168,Glass
23,CR1B1_2 PT5,0.8766,60.7093,2.9426,13.516,0,0.8198,3.8259,0.1287,9.1058,3.4249,3.1231,0.0031,98.4756,Glass
24,CR1B1_2 PT6,0.8588,60.9666,3.1946,13.7626,0.0045,0.9428,3.9868,0.1496,8.8923,3.5828,2.6322,0.0021,98.9758,Glass
25,CR2A2_2 PT1,0.6606,56.2368,3.1657,12.7783,0,1.6984,4.0712,0.1461,10.1088,2.6653,2.9397,0.0213,94.4921,Glass
26,CR2A2_2 PT4,0.6976,59.7094,3.1172,14.1008,0,1.2782,4.5568,0.1208,8.9666,3.7027,2.8778,0.0149,99.1429,Glass
27,CR2A2_2 PT7,0.6529,55.0318,2.9909,15.0001,0.0243,2.0061,5.7217,0.1802,12.1016,3.878,2.1024,0.0133,99.7034,Glass
28,CR2A2_3 PT1,0.6627,59.2459,2.8664,12.8028,0,1.862,4.7108,0.1167,10.0472,3.2258,3.1693,0.0116,98.7211,Glass
29,CR2A2_3 PT5,0.9963,59.297,2.8873,15.7903,0,0.7239,4.826,0.0197,5.2423,4.3997,2.7764,0.0011,96.9599,Glass
30,CR2B1_2 PT8,0.5981,54.1172,2.7087,12.2647,0.0009,1.438,4.5669,0.1545,9.7022,2.998,2.5702,0.0067,91.1261,Glass
31,CR2B1_2 PT10,0.7308,56.5107,3.8231,10.7882,0.0271,2.0183,4.6993,0.1679,13,2.8573,2.9802,0.0197,97.6225,Glass
32,CR2B1_3 PT1,0.7617,60.7018,3.0198,13.1119,0.0221,1.4957,4.5482,0.128,9.7952,3.4844,2.2992,0.0052,99.3733,Glass
33,CR2B1_3 PT2,0.7545,60.22,3.0486,12.6807,0,1.8031,4.9992,0.1497,11.185,3.5157,2.3466,0.0262,100.7291,Glass
34,CR2B1_3 PT7,0.698,60.1414,2.7366,13.1836,0,1.9968,4.9762,0.1509,9.3859,3.6472,2.261,0,99.1775,Glass
35,CR2B2_1 PT1,0.7362,57.7298,3.1736,12.9186,0,1.5239,4.9938,0.1161,10.5675,3.4959,2.7458,0.0191,98.0202,Glass
36,CR2B2_1 PT2,0.7346,59.6763,2.8445,13.8442,0,1.7003,4.2623,0.1514,10.23,3.859,2.4083,0.0021,99.7133,Glass
37,CR2B2_1 PT3,0.6212,59.4368,2.7945,13.9878,0.022,1.8706,5.4383,0.1282,9.8011,3.9742,2.4321,0.025,100.5319,Glass
38,CR2B2_1 PT4,0.6696,58.6243,3.0886,12.332,0.0198,1.6504,5.0257,0.1488,10.531,3.4166,2.8574,0.0078,98.3719,Glass
39,CR2B2_1 PT5,0.7236,60.1399,2.5847,14.0617,0.0191,1.1579,4.6032,0.1151,8.0968,3.9376,2.6505,0.0102,98.1001,Glass
40,CR2B2_1 PT6,0.6724,57.7898,2.8523,13.0697,0.0186,2.3789,5.3503,0.204,11.3831,3.8183,2.4616,0,99.9991,Glass
41,CR2B2_2 PT1,0.8123,60.0313,3.7185,11.3769,0,1.3802,3.546,0.1685,11.3018,2.3407,3.0922,0.0124,97.7807,Glass
42,CR2B2_2 PT2,0.7763,59.435,3.4883,12.4029,0.0255,1.2574,4.0379,0.1199,11.0804,3.229,2.7911,0.0011,98.6447,Glass
43,CR2B2_2 PT3,0.7017,60.1056,2.6701,14.0463,0.0088,1.3377,4.6032,0.1259,9.3045,3.6931,2.3903,0,98.9872,Glass
44,CR2B2_2 PT4,0.7381,63.5232,2.8279,11.8852,0.0029,0.5174,2.4982,0.1196,8.784,1.7786,4.799,0.0113,97.4854,Glass
45,CR2B2_2 PT5,0.8213,60.4536,3.2339,13.9819,0,1.3071,4.2022,0.1384,9.8631,3.6924,2.4829,0,100.1769,Glass
46,CR2B2_2 PT6,0.8285,58.4283,3.2542,13.0602,0.0066,1.3088,4.8336,0.1614,10.1953,3.5529,2.34,0.0247,97.9945,Glass
47,CR31_1 PT2,0,79.9717,0.2897,10.6478,0.0278,0.0273,0.4627,0.0061,0.9077,2.002,5.6821,0.011,100.0358,Glass
48,CR31_1 PT4,0.0379,75.043,0.2063,14.1897,0,0.0122,0.9723,0.0257,0.6757,4.0699,5.7335,0,100.9661,Glass
49,CR31_1 PT9,0.1234,70.4474,0.2895,14.696,0.0165,0.2875,1.8595,0.0405,1.4299,3.7339,4.5063,0.0022,97.4327,Glass
50,CR31_3 PT5,0.282,67.5876,0.1375,17.3706,0,0,0.9898,0.0064,0.4415,3.6795,9.4476,0,99.9425,Glass
51,CR31_3 PT7,0.1177,71.933,0.4296,15.7562,0,0.0119,2.0284,0,0.7405,4.657,4.9942,0.0109,100.6794,Glass
52,CR32_2 PT3,0.0088,75.4499,0.1356,12.8229,0.0297,0.0302,0.4662,0.003,0.8104,1.5857,8.3809,0,99.7232,Glass
53,CR32_2 PT8,0.145,87.1742,0.2515,5.9982,0,0.0198,0.6936,0,0.5231,1.1726,2.3362,0.0033,98.3177,Glass
