Formula,P2O5,SiO2,TiO2,Al2O3,V2O3,Cr2O3,MgO,CaO,MnO,FeO,ZnO,Na2O,K2O,S,Total,Mineral,Comment
1 / 1 . ,0.1429,57.4112,0.612,24.3808,,0,0.2406,8.1469,0,2.2004,,6.1059,0.8396,0,100.0804,,CR1A2_1 Pt2
2 / 1 . ,0.8554,61.0301,3.0573,11.6754,,0.0106,0.8901,2.3246,0.1692,8.3988,,1.9708,3.5584,0.0094,93.9501,,CR1A2_1 Pt3
3 / 1 . ,1.0308,58.1234,3.8007,12.9525,,0,1.0242,3.3184,0.1598,10.1897,,2.5868,2.9191,0.0073,96.1126,,CR1A2_1 Pt4
4 / 1 . ,1.3883,62.8742,3.5427,9.1871,,0,1.206,2.6023,0.1999,10.2966,,1.943,3.8251,0.0157,97.0808,,CR1A2_1 Pt5
5 / 1 . ,1.4053,59.2414,3.8531,12.2169,,0,1.4092,3.6655,0.1973,10.0855,,2.5712,1.1062,0.0105,95.7622,,CR1A2_1 Pt6
6 / 1 . ,0.4706,68.3092,1.8865,11.5799,,0,0.3261,1.4179,0.0715,4.342,,1.9536,4.9341,0,95.2913,,CR1A2_1 Pt7
7 / 1 . ,1.4549,61.3124,3.2465,10.2187,,0,1.2143,3.5697,0.1597,9.9886,,2.0577,3.4264,0.0064,96.6552,,CR1A2_1 Pt8
8 / 1 . ,0.8896,67.8528,2.3451,13.4352,,0,0.4758,2.6559,0.0864,5.0917,,4.4447,2.9268,0.0043,100.2082,,CR1A2_1 Pt9
9 / 1 . ,,0.0884,19.0735,2.5658,0.6106,0.4594,1.4392,0.1026,0.3811,70.3355,0.0685,,,,95.1245,,CR1A2_1 Pt10
10 / 1 . ,,0.1598,18.8273,2.3253,0.5215,0.1654,1.1981,0.1825,0.4389,70.9213,0.1488,,,,94.8889,,CR1A2_1 Pt11
11 / 1 . ,1.1346,64.4729,3.5739,11.7865,,0.0336,0.9011,2.5729,0.1544,9.3551,,2.2205,4.1896,0,100.395,,CR1A2_2 Pt1
12 / 1 . ,1.2836,65.6739,3.5355,9.9702,,0.0126,0.8387,2.3527,0.1336,8.5538,,1.8361,4.0457,0.0203,98.2565,,CR1A2_2 Pt2
13 / 1 . ,1.1906,60.9201,4.2585,9.5346,,0.0543,1.314,2.8101,0.2356,10.8732,,1.6343,3.37,0.019,96.2143,,CR1A2_2 Pt3
14 / 1 . ,1.6111,57.8319,5.1046,9.9962,,0.0272,1.6891,3.4026,0.2555,11.6214,,1.7091,3.8531,0,97.1017,,CR1A2_2 Pt4
15 / 1 . ,1.2985,62.074,2.8559,12.755,,0.0235,0.9151,3.6246,0.1341,9.0281,,2.592,2.4515,0.009,97.7614,,CR1A2_2 Pt5
16 / 1 . ,1.0295,64.408,3.5953,11.5379,,0.026,0.8876,3.522,0.1242,9.47,,3.4246,2.3143,0.0193,100.3586,,CR1A2_2 Pt6
17 / 1 . ,1.0472,62.2047,3.941,10.1473,,0,0.9706,3.228,0.1405,9.9343,,1.6339,3.587,0.0168,96.8512,,CR1A2_2 Pt7
1 / 1 . ,0.5264,51.6529,1.7237,19.4951,,0.0054,1.2571,6.3927,0.0811,6.1386,,3.6602,1.6895,0.0074,92.63,Plagioclase,CR1A3_1 PT1
4 / 1 . ,0.5798,58.645,0.8938,24.2786,,0,0.2791,6.9711,0.053,2.3959,,5.0307,0.9623,0.0136,100.1029,Plagioclase,CR1A3_1 PT4
6 / 1 . ,1.0441,56.613,2.0032,22.965,,0.0134,0.6855,3.2218,0.0794,5.3444,,5.3273,1.2446,0.0238,98.5655,Plagioclase,CR1A3_1 PT6
7 / 1 . ,0.9475,64.2579,3.2912,11.7515,,0.0179,1.2133,3.8091,0.1568,9.5448,,2.6687,3.1571,0.0149,100.8308,Glass,CR1A3_2 PT1
8 / 1 . ,1.09,62.4693,3.5185,9.6559,,0,0.8163,2.5778,0.1274,9.077,,1.0721,3.9932,0.0045,94.402,Glass,CR1A3_2 PT2
9 / 1 . ,0.6957,69.1571,1.7587,12.6912,,0.0212,0.3821,2.2788,0.0885,3.6759,,2.576,4.2221,0.0148,97.5621,Glass,CR1A3_2 PT3
10 / 1 . ,3.7061,43.4983,7.7687,4.0012,,0,3.8816,7.4754,0.4791,25.2657,,0.6048,1.8374,0.0112,98.5296,Iron Oxide,CR1A3_2 PT4
